luname,1984,1987,1992,1997,2002,2005
afo,0.91,0.86,0.86,0.79,0.66,0.66
alf,9.83,10.27,11.29,9.13,11.91,7.83
bar,0.8,0.8,0.81,0.84,0.87,0.87
css,0,0,0,0,0,0
ext,25.4,25.4,25.4,25.4,25.4,25.4
for,1187.98,1190.02,1184.11,1197.78,1203.24,1216.05
hom,1.26,1.17,1.72,1.56,2.06,1.9
hvf,12,12.02,11.96,12.1,12.15,12.28
hwm,8.79,6.85,5.94,2.28,3.84,3.86
hyo,8.61,11.09,7.19,9.54,7.62,6.91
hyw,31.24,33.18,33.08,36.18,38.81,39.9
imh,12.3,12.3,12.3,12.8,13.2,13.3
iml,28.8,28.8,28.8,28.8,28.8,28.8
lwm,18.29,16.39,17.83,14.26,11.32,11.39
nal,0,0,0,0,0,0
nhi,0,0,0,0,0,0
nho,0,0,0,0,0,0
nhy,0,0,0,0,0,0
nlo,0,0,0,0,0,0
npa,0,0,0,0,0,0
pas,130.87,128.08,135.54,125.5,117.21,108.5
puh,11.4,11.4,11.4,11.8,12.1,12
pul,144,144,144,144,144,144
trp,6.89,6.74,7.13,6.61,6.17,5.71
urs,0,0,0,0.01,0,0
wat,4,4,4,4,4,4
